X,Y,Z,SIGNAL_STRENGTH
-1,-63,-34,72
-1,-64,-34,72
-1,-68,-36,72
-1,-72,-37,72
-1,-68,-34,72
-1,-65,-33,72
-1,-69,-34,72
-1,-75,-36,72
-1,-75,-36,72
-1,-74,-35,72
-1,-76,-35,72
-1,-76,-35,72
-1,-78,-35,72
-1,-80,-35,72
-2,-87,-38,80
-2,-90,-39,72
-2,-87,-37,72
-2,-90,-37,80
-2,-92,-37,80
-2,-96,-39,80
-2,-96,-38,80
-2,-98,-38,88
-2,-101,-38,88
-2,-102,-38,88
-2,-106,-39,88
-2,-106,-38,88
-2,-108,-39,88
-2,-116,-41,88
-2,-129,-44,88
-2,-138,-46,88
-3,-145,-48,88
-3,-151,-49,88
-3,-162,-51,88
-3,-181,-56,88
-3,-179,-54,88
-3,-183,-54,88
-3,-189,-55,88
-4,-211,-60,88
-4,-235,-65,80
-5,-287,-78,56
-7,-392,-104,72
-8,-428,-111,64
-8,-449,-113,72
-8,-471,-116,80
-9,-494,-119,72
-9,-536,-126,64
-10,-556,-127,48
-14,-820,-183,64
-55,-3095,-322,16
-63,-3576,90,16
-21,-1166,106,16
-38,-2146,335,16
-19,-1095,224,40
-19,-1096,230,40
-19,-1087,236,48
-18,-1037,231,64
-18,-1000,229,64
-18,-995,234,32
-17,-988,238,72
-18,-998,249,72
-18,-1005,256,40
-18,-1023,267,56
-33,-1840,538,24
-51,-2861,1041,16
-23,-1286,564,16
-18,-991,645,56
-14,-777,525,32
-14,-768,526,48
-13,-762,528,40
-13,-751,528,40
-13,-729,519,32
-13,-717,516,64
-16,-897,670,56
-16,-918,695,48
-12,-677,532,64
-12,-681,541,56
-47,-2639,2151,24
-12,-661,551,48
-12,-653,552,72
-12,-670,572,32
-11,-630,578,40
-11,-604,561,40
-10,-591,555,64
-11,-597,568,56
-10,-583,561,48
-10,-581,565,40
-10,-573,571,72
-10,-566,570,40
-10,-552,563,64
-10,-549,566,56
-11,-612,661,24
-10,-562,630,40
-10,-554,627,40
-10,-539,617,64
-10,-540,629,64
-9,-536,630,40
-10,-541,644,72
-9,-527,634,40
-9,-509,619,64
-9,-510,629,40
-9,-506,631,56
-9,-503,636,48
-9,-513,655,32
-9,-514,663,48
-8,-466,633,32
-10,-567,789,40
-9,-513,723,48
-9,-505,719,56
-9,-488,705,48
-12,-684,1065,40
-15,-862,1453,24
-9,-501,869,40
-6,-333,603,64
-6,-324,594,32
